"","ID","Day","Month","Year","Location","Danger_Score","Trigger_Type","Origin","Size","Members","Dragged","Hurt","Dead","Activity","lat","long"
"1",226,"23","12","2007","Pic de Sarrouyes","2","Slab","Accidental",NA,6,3,2,1,"Rackets",42.758846,0.375197
"2",245,"14","12","2007","Malh Blanc de Tredòs","3","Slab","Accidental",NA,6,1,1,0,"Skimo",42.656783,0.946327
"3",331,"22","06","2008","Pic d’Estaragne","No prediction","Unknown","Unknown",NA,5,1,0,1,"Skimo",42.796949,0.129656
"4",341,"21","06","2008","Glacera de l’Aneto","No prediction","Unknown","Unknown",NA,NA,-1,1,-1,"Unknown",42.635919,0.65372
"5",364,"07","06","2008","Luz-Saint-Sauveur","Unknown","Unknown","Unknown",NA,2,2,0,2,"Hiking",42.87148,-0.009318
"6",223,"19","04","2008","Masella","2","Unknown","Unknown",NA,3,1,0,0,"Off-piste skiing",42.323968,1.91617
"7",324,"13","04","2008","Portillón Inferior","4","Unknown","Unknown",NA,2,1,0,0,"Skimo",42.654635,0.64656
"8",337,"12","04","2008","Pico Tesorero","No prediction","Unknown","Unknown",NA,2,2,0,0,"Skimo",43.180561,-4.840878
"9",338,"12","04","2008","Pico de la Padiorna","No prediction","Unknown","Unknown",NA,2,2,1,0,"Skimo",43.155839,-4.834926
"10",339,"12","04","2008","Horcados Rojos","No prediction","Unknown","Unknown",NA,1,1,1,0,"Hiking",43.178756,-4.831456
"11",218,"03","04","2008","Teso de Son","2","Slab","Accidental",NA,3,2,0,2,"Skimo",42.609153,1.040336
"12",294,"01","04","2008","Baqueira","3","Unknown","Unknown",NA,1,1,1,0,"Off-piste skiing",42.68486,0.979867
"13",295,"24","03","2008","Tuc de Salana","3","Unknown","Unknown",NA,2,0,0,0,"Skimo",42.647259,0.90837
"14",235,"21","03","2008","Corrunco de Durro","2","Unknown","Unknown",NA,2,0,0,0,"Skimo",42.462361,0.828713
"15",213,"20","03","2008","Pic Midi de Bigorre","2","Unknown","Accidental",NA,4,4,0,4,"Mountaineerin",42.938055,0.140243
"16",336,"28","02","2008","Pico de Elorrieta, Sierra Nevada","No prediction","Unknown","Unknown",NA,4,1,0,1,"Skimo",37.043723,-3.389781
"17",312,"04","01","2008","Formigal","4","Unknown","Unknown",NA,5,3,0,3,"Off-piste skiing",42.788184,-0.436644
"18",328,"20","12","2008","Lac Blaou del Pic de Thoumasset","4","Unknown","Unknown",NA,4,2,0,0,"Skimo",42.653317,1.582898
"19",365,"20","12","2008","Eina","Unknown","Unknown","Unknown",NA,2,2,1,1,"Skimo",42.468252,2.112193
"20",329,"07","12","2008","Vessant Sud del Salvaguardia","No prediction","Unknown","Unknown",NA,2,1,0,1,"Hiking",42.692782,0.635911
"21",330,"01","12","2008","Sierra Nevada","No prediction","Slab","Accidental",NA,3,3,1,0,"Off-piste skiing",37.057332,-3.372579
"22",221,"30","11","2008","Torrent de Set Fonts","2","Unknown","Unknown",NA,NA,1,1,0,"Freeride",42.326292,1.90968
"23",429,"30","11","2008","Estivella","2","Slab","Accidental",NA,8,2,0,0,"Skimo",42.1880579038132,1.53096720279924
"24",470,"30","11","2008","Pic de Montmalús","No prediction","Slab","Accidental",1.5,3,1,0,0,"Skimo",42.5114945112697,1.68728152107603
"25",300,"29","03","2009","Puig dels LLadres","3","Slab","Unknown",NA,2,-1,1,-1,"Off-piste skiing",42.420484,2.261329
"26",347,"13","03","2009","St Lary Soulan","Unknown","Slab","Unknown",NA,3,3,0,0,"Off-piste skiing",42.827841,0.244997
"27",296,"08","03","2009","Pic de Bacivers","3","Unknown","Unknown",NA,3,1,0,0,"Skimo",42.436452,2.231799
"28",302,"08","03","2009","Pic de Sanfons","4","Unknown","Unknown",NA,2,2,0,2,"Mountaineerin",42.5872873516857,1.42781490251039
"29",469,"08","03","2009","Pic de Sanfons","3","Slab","Accidental",3,2,2,0,2,"Rackets",42.5870872921334,1.42830364500794
"30",434,"07","03","2009","Canal de Bedoll","4","Slab","Accidental",NA,1,-1,1,-1,"Off-piste skiing",42.6738983502383,1.21214383560829
"31",344,"06","03","2009","Moncayo","Unknown","Unknown","Unknown",NA,2,2,1,1,"Skimo",41.786043,-1.836239
"32",431,"03","03","2009","Pic Sirvent","2","Slab","Accidental",NA,NA,1,-1,-1,"Skimo",42.4644438197951,1.60392770764314
"33",262,"07","02","2009","Costabona","3","Slab","Unknown",NA,1,1,0,1,"Rackets",42.414158,2.341264
"34",433,"05","02","2009","Estanys de Gerber","3","Slab","Accidental",NA,NA,1,-1,-1,"Skimo",42.6282160971423,0.990572855744292
"35",248,"04","02","2009","Bastiments","3","Slab","Unknown",NA,2,1,1,0,"Skimo",42.427162,2.238719
"36",432,"04","02","2009","Cervi","3","Slab","Accidental",NA,NA,1,-1,-1,"Off-piste skiing",42.4635243560328,0.86615524361592
"37",237,"01","02","2009","Canal Amagada","3","Unknown","Natural",NA,NA,2,-1,0,"Mountaineerin",42.286797,1.666727
"38",430,"01","02","2009","Canal de l'Àliga","3","Slab","Natural",NA,4,4,1,-1,"Mountaineerin",42.2845254901041,1.67003820914752
"39",307,"27","01","2009","Barèges","4","Slab","Accidental",NA,2,2,1,1,"Skimo",42.931174,0.135993
"40",335,"18","01","2009","Peñalara","No prediction","Slab","Unknown",NA,1,1,0,1,"Hiking",40.848954,-3.955074
"41",291,"12","01","2009","Peulla","3","Slab","Accidental",1,1,1,0,0,"Freeride",42.6513685964284,0.989729299343241
